"Topic","Rank","FREX.1","FREX.2","FREX.3","FREX.4","FREX.5","FREX.6","FREX.7"
"Topic1",1,"phone","carpet","confirm","charg","dirti","manag","told"
"Topic1",2,"punta","cana","resort","dominican","beach","bavaro","sand"
"Topic1",3,"metro","florenc","pari","rambla","modern","station","citi"
"Topic1",4,"phone","carpet","confirm","charg","dirti","manag","told"
"Topic1",5,"punta","cana","resort","dominican","beach","bavaro","sand"
"Topic1",6,"metro","florenc","pari","rambla","modern","station","citi"
"Topic1",7,"phone","carpet","confirm","charg","dirti","manag","told"
"Topic2",1,"punta","cana","resort","dominican","beach","bavaro","sand"
"Topic2",2,"metro","florenc","pari","rambla","modern","station","citi"
"Topic2",3,"phone","carpet","confirm","charg","dirti","manag","told"
"Topic2",4,"punta","cana","resort","dominican","beach","bavaro","sand"
"Topic2",5,"metro","florenc","pari","rambla","modern","station","citi"
"Topic2",6,"phone","carpet","confirm","charg","dirti","manag","told"
"Topic2",7,"punta","cana","resort","dominican","beach","bavaro","sand"
"Topic3",1,"metro","florenc","pari","rambla","modern","station","citi"
"Topic3",2,"phone","carpet","confirm","charg","dirti","manag","told"
"Topic3",3,"punta","cana","resort","dominican","beach","bavaro","sand"
"Topic3",4,"metro","florenc","pari","rambla","modern","station","citi"
"Topic3",5,"phone","carpet","confirm","charg","dirti","manag","told"
"Topic3",6,"punta","cana","resort","dominican","beach","bavaro","sand"
"Topic3",7,"metro","florenc","pari","rambla","modern","station","citi"
