"publish_date","headline_text"
20171212,"cancer study finds 40pc deaths preventable with lifestyle change"
20031111,"vic rsl frets over remembrance day rally"
20110630,"overboard man found safe on sandbar"
20180408,"commonwealth games ghost town gold coast"
20170818,"marbled frogmouth back from brink blackall range"
20150713,"verrender hold onto your jobs; a storm is coming"
20080910,"port douglas water now safe to drink"
20140312,"pac meeting on controversial mine"
20150120,"scarborough beach perth precinct to get 57m dollar upgrage"
20110106,"vampire flying frog found in vietnam"
20070803,"artists sue carnegie hall nyc to halt eviction"
20131213,"man killed in boating accident"
20050901,"iraq carries out first post saddam executions"
20030425,"injured bali footballer to return"
20120330,"mother charged with drink driving after school pick up"
20100224,"lovett to fight sacking"
20060523,"offshore asylum processing gets negative response"
20190201,"tesla powerwall keeps sydney home running during blackout"
20060707,"telstra workers asked to take 10k pay cut union"
20050129,"claim govt planes bombed darfur"
20181220,"japan reportedly to withdraw from whaling commission"
20071027,"aus navy destroys hundreds of wwii bombs in"
20040225,"media warned over release of information"
20080125,"a league could be coming to darwin"
20110904,"father parental leave announcement"
20070219,"energy sales surpass govt expectations"
20160919,"crowded house to reunite for encore opera house gigs"
20051215,"kookaburras storm into champions trophy final"
20110811,"queensland cotton farmers gain national recognition"
20120227,"newman sticks to south east corner"
20070811,"federer hits hewitt with perfect 10"
20070403,"tsunami forecasting needed now beattie"
20180524,"shark bite exposes volunteer insurance problems"
20170315,"sa power what is an aero derivative generator"
20070820,"scotland coach says cup squads too small"
20091214,"bail conditions eased for sex slave accused"
20090428,"leaks delay opening of habanero 3 power plant"
20060725,"asic questions westpoint founder about assets"
20060324,"extra police to beef up security at funeral of"
20110706,"schulz earns new power deal"
20200716,"coronavirus nrl gains concessions for players in qld sydney"
20160418,"png opposition leader says rule of law under threat"
20171229,"canberra teenage blacksmith selling knives for thousands"
20101026,"john valves sale funds to help pay debts"
20120816,"isis rsl faces falling membership"
20090602,"s africa rejecting zimbabwe refugees msf"
20030316,"sa govt offers regional festival funding"
20140916,"hillside mine to go ahead"
20101124,"opposition pledges more prison cells"
20160828,"teen charged with child abduction over baby taken sunshine coast"
20120112,"police fear for safety of missing woman"
20110502,"abbott slams teacher bonus plan"
20030623,"lifeline for country racing club"
20170605,"brisbane couple charged torture murder over toddler death"
20140403,"design changes for csg project part of trial and"
20071024,"housing tas considering changing public housing"
20150316,"house fire"
20160211,"two bodies inside metal box found in logan dam"
20161114,"act woman sent coded message to friend before alleged rape"
20080518,"bush committed to dream of palestinian state"
20071118,"major parties neglecting health policy ama"
20080414,"council seeks botanic gardens bird cull approval"
20040413,"call for reptile thieves to be punished"
20100414,"wirrabara peaches just peachy"
20040905,"pollution monitor to keep tabs on emissions"
20120402,"dozens die in russian plane crash"
20040403,"banning gay marriage a mistake clinton"
20040810,"eurobodalla water shortage prompts warning"
20111012,"sporting great thornett dies"
20070730,"pair rescued from caves ordeal"
20161128,"hobart unites behind soccer players"
20070820,"matildas win last cup warm up"
20140929,"the better half september 29"
20030508,"alonsos emergence great for formula one"
20050125,"send off for former archbishop draws criticism"
20120801,"coutts takes silver in 200 im"
20170609,"socceroos still alive but not out of the woods yet"
20171213,"star wars the last jedi the unanswered questions we have"
20161205,"demonstrators march in brazil to support corruption crackdown"
20130923,"former racing qld boss admits misleading government"
20030329,"stones to rock india earlier"
20031218,"mp sings praises of bega dairy industry"
20040224,"cooler weather spells relief for grape growers"
20090701,"opal miners shy away from land releases"
20160805,"woman dumped outside joondalup hospital wa men charged"
20070628,"aussie rich getting richer"
20121005,"catchment management reaction to merger"
20070216,"debnam takes recycled water to polls"
20110315,"gaddafi forces bomb rebel towns"
20100318,"racial tensions rising in darwin"
20050730,"mcdonalds chief to visit tasmania"
20150609,"joe hockey accused of insensitivity over sydney house prices"
20031213,"peru president asks cabinet to resign"
20071018,"blaze damages family home"
20100616,"aussie horses disappoint at royal ascot"
20140206,"australian snowboarder scotty james suffers fall in sochi's f"
20120320,"palmer says green groups funded by cia"
20031115,"federer beats ferrero to remain perfect at masters"
20160616,"labor would approve south china sea military exercise"
20111125,"south korean prison robots"
20180907,"kambo tree frog poison used as alternative medicine"
20040615,"taxpayers fork out 750000 for bakhtiyari detention"
20110429,"child protection cant be everywhere says minister"
20170302,"frank gelber speaks to the business"
20190819,"play school tackles death with a story about fish"
20100908,"tasmanias big cheese"
20110617,"research plan to set anu above the rest"
20101003,"wildcats secure preseason title"
20211220,"when will hospitalisations increase with omicron"
20111106,"heat open abl defence with sweep"
20150813,"serial wa paedophile dennis mckenna in new court fight"
20110616,"interview luke lewis"
20180628,"we need more time to make our arguments govt delays tax bill"
20090302,"nsw eases speeding penalty"
20130504,"port stephens dolphin census needs volunteers"
20191219,"sydney is once again blanketed in thick smoke this morning"
20070103,"rain helps boost dam supplies"
20050513,"waratahs offer sailor the chance to jump ship"
20160319,"walkers remember domestic violence victim tara costigan"
20130528,"sach p1 restricted"
20080125,"us scientists make breakthrough in quest for"
20130327,"such a waste"
20121123,"listen to why andrew cripps feels the wild rivers"
20181206,"putin warns russia will develop banned missiles"
20130603,"retail sales recover some of march fall"
20040324,"cyclists pedal towards ms research"
20050511,"stoush sees man evicted from courthouse"
20150910,"governor general pays tribute to queens record breaking reign"
20100804,"transport firm accused of short changing worker"
20111003,"panel to hear bridge plans"
20191203,"ash barty wins a third straight newcombe medal"
20180906,"high ropes course operators told to review procedures"
20130219,"reserve signals dollar frustration"
20100616,"assoc prof david ocarroll tells tim marshall about"
20150630,"australian miners increasingly targeted by hackers report warns"
20040806,"man jailed for being accessory to murder"
20161205,"fijis bainimarama still dogged by rights issues"
20210503,"criticism over federal governments ban on"
20160919,"cfa firefighters front senate committee controversial wage deal"
20111112,"uk town finds rare world war one white feather"
20130905,"man jailed for cultivating commercial quantity of cannabis"
20210801,"slow reopening for sydney construction"
20110926,"retail super funds underperforming compared to banks"
20040716,"labor promises extra mris for hospitals"
20051207,"hundreds rally against telstra sale"
20080908,"trial of garuda crash pilot to proceed"
20140221,"brissenden armys great orator and his ocean vision"
20121212,"pngs malagan masks to be digitalise"
20071025,"govt to test white substance found at school"
20110203,"muirhead denies child porn charges"
20200301,"folk gets modern shakeup thanks to womadelaide performers"
20041001,"funds aim to combat petrol sniffing"
20101218,"obama signs big win tax bill"
20120112,"brickworks admits unsafe workplace"
20140912,"increased security planned for afl semi final terrorism threat"
20110426,"shire drops childrens services hub plan"
20030604,"sea slugs enlisted in barnacle fight"
20110413,"transport electricity concerns ahead of budget"
20130130,"shinzo abes initiatives and the japanese economy"
20031215,"all ords jumps on saddams capture"
20050717,"pm defends australia card debate"
20070103,"philippoussis injury hands france hopman cup"
20040211,"coroner urges public pool safety review"
20060419,"act locals fight wind farm with world heritage bid"
20110112,"another native title claim over gas hub land"
20140327,"wa country hour 27 march 2014"
20050808,"public urged to ignore sacking claims"
20110429,"royal wedding boosts rfds coffers"
20090630,"arrested man in swine flu isolation"
20061117,"hicks ruddock share guantanamo concerns"
20060704,"nasa confirms crack will not delay launch"
20100514,"interview michael weyman"
20110409,"administrator takes action against bookstores"
20040804,"six charged over fatal paraguayan fire"
